epoch,loss_g,loss_d,fid,is_mean,is_std,run
1,4.740988223275403,0.10529130971338782,335.7677917480469,1.6926469802856445,0.01634260080754757,1
2,4.58539621093029,0.10924893670200868,,,,1
3,4.008311448220809,0.1972160126705443,,,,1
4,2.9576707235931896,0.34491580615453565,,,,1
5,2.5616102871189526,0.38942673571605596,211.71990966796875,2.9736952781677246,0.050861671566963196,1
6,2.141250504366818,0.4183997074248064,,,,1
7,1.9299415838251222,0.4729089984286449,,,,1
8,1.7610931299278316,0.5059698186390922,,,,1
9,1.636088470291398,0.5252910692305993,,,,1
10,1.5407603711228908,0.5440047787391733,204.93348693847656,2.898134708404541,0.04770974814891815,1
11,1.470986133580262,0.5586463347849744,,,,1
12,1.393634860419142,0.5731669991417269,,,,1
13,1.3510907686465006,0.5815018548261652,,,,1
14,1.2951296993664332,0.5899804385588534,,,,1
15,1.24967469446427,0.5986405352387205,213.2266082763672,3.113098621368408,0.051556944847106934,1
16,1.2141947872117256,0.6058796300975472,,,,1
17,1.1829404968076047,0.6104582583934408,,,,1
18,1.1467812842349185,0.6171755629453888,,,,1
19,1.1194659208151243,0.6225687012019863,,,,1
20,1.0946429022570174,0.6262714245301282,215.74114990234375,3.1713390350341797,0.06936656683683395,1
21,1.0743007143740406,0.629356457370271,,,,1
22,1.0469504771506892,0.6349109497896187,,,,1
23,1.0363170947272016,0.6351781760621462,,,,1
24,1.019861515041549,0.6390803910688263,,,,1
25,1.0008531780972343,0.6433341741637243,210.4972381591797,3.0319390296936035,0.049874503165483475,1
26,0.988004443769057,0.6442746806762614,,,,1
27,0.9736047619588758,0.6460941103104544,,,,1
28,0.9655447781613443,0.6480215755862322,,,,1
29,0.950785700914682,0.6515353562030117,,,,1
30,0.9441933717423233,0.6511326086355371,215.35455322265625,3.264153242111206,0.07130766659975052,1
31,0.9341051994473232,0.6530400229389538,,,,1
32,0.9297111167015529,0.6547340682876095,,,,1
33,0.9197889162903339,0.6557482753782597,,,,1
34,0.9258959337070528,0.6535591345595951,,,,1
35,0.9242432317149021,0.6544618093786589,226.64549255371094,3.4114022254943848,0.08096802234649658,1
36,0.9200299162554229,0.6548436807018767,,,,1
37,0.9178354015241833,0.6562192988983448,,,,1
38,0.9110625359110827,0.6568900714481224,,,,1
39,0.9090705790878397,0.656732571411374,,,,1
40,0.9082345795993105,0.657286005285386,232.25770568847656,3.556849718093872,0.09707734733819962,1
1,3.539513932411499,0.1599120030460319,278.5456237792969,1.3821474313735962,0.011282587423920631,2
2,3.175539081414641,0.22902569269664896,,,,2
3,2.986866923974528,0.31343103691408064,,,,2
4,2.630310772982922,0.37974777412700894,,,,2
5,2.2065659811162166,0.43389355098327104,205.85374450683594,2.404252290725708,0.027186140418052673,2
6,1.9412407103440854,0.47251770390119924,,,,2
7,1.8051363498010164,0.4989948531167697,,,,2
8,1.6703074373653355,0.5170799866036127,,,,2
9,1.5877795322655728,0.5334284744130073,,,,2
10,1.5258050502175478,0.5464415241282448,206.83843994140625,2.762143850326538,0.041561052203178406,2
11,1.4659896092077271,0.5596539045291966,,,,2
12,1.4211550514707072,0.5654159592730659,,,,2
13,1.3651678836451167,0.575270312964238,,,,2
14,1.3004838117079247,0.590546396717561,,,,2
15,1.2579365718153726,0.5950957515975166,209.79946899414062,3.0859172344207764,0.06762953847646713,2
16,1.2254506163063603,0.6045425461155425,,,,2
17,1.1677816455945957,0.6142407413454333,,,,2
18,1.1306935889757086,0.6214435640840253,,,,2
19,1.1071110259265875,0.626654546119169,,,,2
20,1.076328814933936,0.6302620478059188,216.80862426757812,3.1860644817352295,0.0809730589389801,2
21,1.057472836504091,0.6332228626071578,,,,2
22,1.0401979895442837,0.6370669742375047,,,,2
23,1.020574942513754,0.6388299224048137,,,,2
24,1.0081526449447034,0.6410018217322497,,,,2
25,0.9813519201974953,0.647550888821087,221.0193328857422,3.3031296730041504,0.07944385707378387,2
26,0.9631286613483043,0.6486226741116207,,,,2
27,0.9580120625899805,0.6495952229056738,,,,2
28,0.9467978084132584,0.6526586685032971,,,,2
29,0.939342664067272,0.6526662463183349,,,,2
30,0.9292283799645271,0.653610324173902,221.99661254882812,3.1374106407165527,0.05103428661823273,2
31,0.927789119794004,0.6553232417395985,,,,2
32,0.9169163363697255,0.6558750949225444,,,,2
33,0.9162517947282562,0.6574964398982099,,,,2
34,0.9100604011346356,0.6577900596123127,,,,2
35,0.9124835285389921,0.657348800210374,234.8440399169922,3.4096839427948,0.1058712974190712,2
36,0.9099223492043057,0.6567239277206088,,,,2
37,0.9073707190084397,0.6573488769956244,,,,2
38,0.9070924199486502,0.6583278900678782,,,,2
39,0.9081514296881318,0.657330745353108,,,,2
40,0.9039545296567731,0.6579209419176943,233.0984344482422,3.4997880458831787,0.09378717839717865,2
1,4.050190288502418,0.1729236698733887,312.5451354980469,1.3673274517059326,0.013337266631424427,3
2,3.233261306785452,0.2110201263660153,,,,3
3,2.9873838564840187,0.2951025277206629,,,,3
4,2.653553451019352,0.3850569052977297,,,,3
5,2.2898252586799988,0.4321538428817175,203.4329376220703,2.406895875930786,0.03749840706586838,3
6,2.0313360807491767,0.4588283051167969,,,,3
7,1.891028261666955,0.47441046115119295,,,,3
8,1.7436516380641613,0.5117495217079158,,,,3
9,1.6540223038302058,0.5226233953282746,,,,3
10,1.5790776240388602,0.5324803944182607,200.6889190673828,2.7913129329681396,0.06778887659311295,3
11,1.5344309434577277,0.5463475008717681,,,,3
12,1.4590066174791676,0.5561338438924435,,,,3
13,1.4054532683679337,0.5710109987504564,,,,3
14,1.3479940586837595,0.5792120539697474,,,,3
15,1.3056774004521472,0.5904601004196027,204.4945526123047,3.04206919670105,0.06484635919332504,3
16,1.2497570057659777,0.5958885988491375,,,,3
17,1.2181599629965203,0.6053130001620909,,,,3
18,1.1823006725190714,0.6102091194555521,,,,3
19,1.1481982041550647,0.6201628231444642,,,,3
20,1.1067786340315635,0.6235527117017247,211.35272216796875,3.037902355194092,0.04638644680380821,3
21,1.0885650902496729,0.6280308908744046,,,,3
22,1.0591799617567195,0.6348511183307084,,,,3
23,1.028658037315277,0.6387376851212662,,,,3
24,0.9996952904687368,0.6433162217119098,,,,3
25,0.9845623135491358,0.6479594080924385,215.689697265625,3.1958563327789307,0.08161037415266037,3
26,0.967286021534622,0.6495925104798921,,,,3
27,0.9601886352305166,0.6508264129065382,,,,3
28,0.9537005751533846,0.6508981783682417,,,,3
29,0.9425814131041694,0.6529542157984564,,,,3
30,0.9349255915990219,0.6540942097508953,217.29502868652344,3.238025665283203,0.060816191136837006,3
31,0.929822169913052,0.6551509264070075,,,,3
32,0.9236111645828156,0.6556067127268173,,,,3
33,0.9196102746141847,0.6564454114542598,,,,3
34,0.9150166515680089,0.657462688184116,,,,3
35,0.9083719088515801,0.6577611484208089,236.6233367919922,3.582118272781372,0.06358125060796738,3
36,0.9085120752020521,0.658468275508748,,,,3
37,0.9078965567608097,0.6584038893808758,,,,3
38,0.9068062909785776,0.6576354581999266,,,,3
39,0.9080823668185739,0.657812893466009,,,,3
40,0.9070612299909483,0.6586278299088725,236.6375732421875,3.680652618408203,0.10383101552724838,3
1,3.0129651068021013,0.18463353186259435,261.7544250488281,1.2838846445083618,0.006511237006634474,4
2,2.966053610147176,0.23422151219274015,,,,4
3,2.8898080690244656,0.3239231184878482,,,,4
4,2.5800955905549596,0.3837583990468539,,,,4
5,2.2210119304855915,0.43236956011631095,190.65036010742188,2.1754441261291504,0.03213202953338623,4
6,1.9629735765053258,0.4620700382478017,,,,4
7,1.7913374846563328,0.5025514688074363,,,,4
8,1.713433869946018,0.5148825842873035,,,,4
9,1.5984701902691543,0.5294101966165863,,,,4
10,1.53627130558759,0.5416193226194562,198.4146270751953,2.7891743183135986,0.05104826018214226,4
11,1.465404028762909,0.5595891839635055,,,,4
12,1.399955563501522,0.5683750040574863,,,,4
13,1.3426928147202648,0.5817395242027628,,,,4
14,1.3033752732647657,0.5856654397041247,,,,4
15,1.2609137709613998,0.5969037106719843,212.56886291503906,3.0135457515716553,0.07185482233762741,4
16,1.2189732102769064,0.6059237909980127,,,,4
17,1.177587880987283,0.612422420613835,,,,4
18,1.1406500796904002,0.6195026624820628,,,,4
19,1.1111804480875187,0.6233174348374836,,,,4
20,1.0927785652325819,0.6270933669677425,221.0110321044922,3.316687822341919,0.0630730390548706,4
21,1.0743656807241186,0.6306775730343444,,,,4
22,1.0440324020069258,0.6352180768882881,,,,4
23,1.0282968405902613,0.6365372484688813,,,,4
24,1.0043711653626823,0.641984431277937,,,,4
25,0.9869872058839473,0.6452560542732967,223.0535888671875,3.256338596343994,0.06921392679214478,4
26,0.9783704543837103,0.6465021997652524,,,,4
27,0.968804614357038,0.6475178961431333,,,,4
28,0.9596885272058012,0.6501422526712816,,,,4
29,0.9505010524531532,0.6512730310749917,,,,4
30,0.9463559548110335,0.6513253465087616,221.8961639404297,3.3744513988494873,0.04828159511089325,4
31,0.9391095887695341,0.6533068381579576,,,,4
32,0.9293785219171405,0.6554820288146944,,,,4
33,0.9176494465992514,0.6557967540738555,,,,4
34,0.9170034884954373,0.6566647102046104,,,,4
35,0.9129189531661467,0.6576477278273567,233.78713989257812,3.457733154296875,0.07319033145904541,4
36,0.9084268825696181,0.6586137497997766,,,,4
37,0.9057304379536139,0.659308356031606,,,,4
38,0.896335987579054,0.6598742818636478,,,,4
39,0.8956004270786884,0.6612270254401582,,,,4
40,0.8980834748968011,0.6597366081703779,231.9827423095703,3.496269941329956,0.06159573420882225,4
1,4.729382492027301,0.11161013553459855,361.20538330078125,1.9703823328018188,0.021012529730796814,5
2,4.571258553775915,0.10882680214189144,,,,5
3,3.5254563539278343,0.2641052639490999,,,,5
4,2.7773366145102023,0.3680880552372046,,,,5
5,2.4540758192087093,0.4000191664424467,204.22967529296875,2.3739235401153564,0.051955971866846085,5
6,2.0211896295794647,0.4445470891016925,,,,5
7,1.8493402843680304,0.4946173395203278,,,,5
8,1.7050910966586224,0.5133304648506355,,,,5
9,1.6198538919315024,0.52918943613956,,,,5
10,1.5232846593736247,0.548288571020746,202.38858032226562,2.7361207008361816,0.04622923210263252,5
11,1.4595513353606995,0.5626784943976686,,,,5
12,1.391582908092347,0.5733525095184895,,,,5
13,1.329598159276128,0.5847706591472613,,,,5
14,1.2921488251532376,0.592317981586595,,,,5
15,1.2534922227998146,0.598350294659623,206.83209228515625,3.1443679332733154,0.050829626619815826,5
16,1.2185665778580266,0.6018628681504772,,,,5
17,1.1869897923789043,0.6100097849079692,,,,5
18,1.1586385353099833,0.6152749006953161,,,,5
19,1.127201286564886,0.6190547135702126,,,,5
20,1.0991664294497252,0.6258664630381708,216.69577026367188,3.11657452583313,0.07911448180675507,5
21,1.0771005569984278,0.6293737083560447,,,,5
22,1.0511642678649025,0.6355231446502483,,,,5
23,1.0262285415954444,0.6387924921196119,,,,5
24,1.006860357281833,0.6427589062643714,,,,5
25,0.9907120135430288,0.6442192883693464,224.09637451171875,3.231640338897705,0.08228065818548203,5
26,0.9760245438547411,0.6479183657356219,,,,5
27,0.9667894264162717,0.6478948183216428,,,,5
28,0.9575070728619692,0.6509815879853728,,,,5
29,0.9525880706973383,0.6498489219003019,,,,5
30,0.9434192891970898,0.6531427911801827,219.98854064941406,3.321337938308716,0.06360021978616714,5
31,0.9288009972548213,0.6550976149502356,,,,5
32,0.9212673053654045,0.6557794446514168,,,,5
33,0.9194575322111398,0.6559964392037518,,,,5
34,0.9189495986466462,0.6563470937810867,,,,5
35,0.9114962734103053,0.657419158068077,230.5896453857422,3.432471990585327,0.055274948477745056,5
36,0.9102070779550241,0.6575296978206008,,,,5
37,0.9019368807072886,0.6598901226080474,,,,5
38,0.8966725967475949,0.6599121642323722,,,,5
39,0.8954006135086947,0.6609411187630085,,,,5
40,0.8877557391764692,0.6611679751336499,231.3489227294922,3.404306173324585,0.05261252447962761,5
