epoch,loss_g,loss_c,fid,is_mean,is_std,run
1,-4.15554445823169,-32.88021444865689,263.26214599609375,1.459091067314148,0.010856716893613338,1
2,0.5137847755898797,-17.69049962843764,,,,1
3,0.60372199687583,-16.228002433038625,,,,1
4,0.950648041133067,-12.827288743123813,,,,1
5,2.08528513110362,-11.618073700841569,223.8594207763672,2.3513081073760986,0.022757340222597122,1
6,1.278411602021723,-10.21177096449745,,,,1
7,0.8108232419461153,-8.121558731050476,,,,1
8,1.6821706003981745,-8.045405687690723,,,,1
9,1.0884110330158219,-7.053765840703654,,,,1
10,1.3647796960038503,-6.7896812407703,209.51646423339844,2.54399037361145,0.040218863636255264,1
11,1.3934193703518094,-6.489420789301302,,,,1
12,1.106153048504303,-6.263761222645004,,,,1
13,1.3685763858682454,-6.007200114610259,,,,1
14,1.0569065281400372,-5.6303703398877785,,,,1
15,0.8614445390394561,-5.170079377081722,198.65512084960938,2.6461570262908936,0.04636462405323982,1
16,0.7571295237136302,-4.858566455592476,,,,1
17,0.8030701073778184,-4.6598271950349615,,,,1
18,0.7060536206015761,-4.425684093251989,,,,1
19,0.5434233779814477,-4.160485410162999,,,,1
20,0.5296342205638758,-3.9780707304134943,190.42088317871094,2.871528387069702,0.05192854255437851,1
21,0.42052914522953133,-3.801129573357614,,,,1
22,0.38970726342021383,-3.58349737983556,,,,1
23,0.3485440902894519,-3.4288846107126223,,,,1
24,0.3778866802958704,-3.3140304937746854,,,,1
25,0.34386032282670526,-3.220249086081699,203.25271606445312,3.1046555042266846,0.046750862151384354,1
26,0.40707327430599954,-3.0499529930935085,,,,1
27,0.29487139441979254,-2.9617049819626513,,,,1
28,0.3106819137177573,-2.822732361459054,,,,1
29,0.26310979096457293,-2.7167851599801396,,,,1
30,0.3290768025469441,-2.653076033381301,208.97576904296875,2.9082322120666504,0.04932999983429909,1
31,0.18271874476865663,-2.593687166111164,,,,1
32,0.253151409116119,-2.5610028917755563,,,,1
33,0.18860265940168836,-2.484877650046612,,,,1
34,0.18540578059157678,-2.4140759026552265,,,,1
35,0.13018787004536173,-2.3445787418933843,209.75653076171875,3.1917648315429688,0.06651735305786133,1
36,0.14758678080181564,-2.2814659990452664,,,,1
37,0.06877928163626748,-2.2907425399546,,,,1
38,0.1268675714366338,-2.226304117589012,,,,1
39,0.09011651998353419,-2.187601823415048,,,,1
40,0.08003739808431545,-2.1272753064289667,213.0269012451172,3.3089656829833984,0.07542871683835983,1
