epoch,loss_g,loss_c,gp,fid,is_mean,is_std,run
1,18.267892901140367,-15.514467748081515,0.30104466573957583,116.92184448242188,2.523730993270874,0.061564475297927856,1
2,-4.426454422814775,-11.438823014450676,0.1919722771192614,,,,1
3,-18.52379717066013,-9.521362189282362,0.14478987397752574,,,,1
4,-28.65504758994538,-8.36594390206239,0.11979798638389856,,,,1
5,-39.061633678032514,-7.455907646287674,0.09992538635364452,54.028587341308594,2.5268139839172363,0.04612041264772415,1
6,-53.33479054045715,-6.770428020242266,0.0877937710904303,,,,1
7,-74.09062737921403,-6.263709985814389,0.07761047641094922,,,,1
8,-98.2498028844077,-5.792117398760706,0.07088854376897569,,,,1
9,-122.70766772711634,-5.450652731463054,0.0632708932921926,,,,1
10,-150.11520365252503,-5.049410996278881,0.05835298067444308,41.34519958496094,2.582911968231201,0.0533781461417675,1
11,-174.30168449317486,-4.775899420040667,0.05446469228226238,,,,1
12,-192.12798450825528,-4.529098091306279,0.05048162829378064,,,,1
13,-208.3025091957707,-4.379318974933353,0.048865745999625225,,,,1
14,-220.96047596622606,-4.16302151310877,0.04569044806222074,,,,1
15,-232.9844200049908,-3.9997448961881665,0.04352831481816174,34.950191497802734,2.649543523788452,0.06974421441555023,1
16,-243.33169319912156,-3.8196666120917877,0.040997263338964134,,,,1
17,-254.32157844917091,-3.692255443795974,0.03929577951038501,,,,1
18,-256.32207185043166,-3.6090902319451645,0.0380030200568044,,,,1
19,-264.22767371588975,-3.4845370999256393,0.036422061771566365,,,,1
20,-262.6743935679937,-3.3755764110016786,0.03536487324854821,29.96551513671875,2.7190792560577393,0.06763888150453568,1
21,-259.96779800101666,-3.318987554999136,0.034050947870753155,,,,1
22,-263.58741640208456,-3.2542254744736128,0.0331891513542871,,,,1
23,-270.55222865582266,-3.1354535577421503,0.03209167023852915,,,,1
24,-272.72734080912755,-3.0707658378998817,0.03168277414706881,,,,1
25,-278.0353762947553,-2.9872562643476006,0.03042125366363339,31.262981414794922,2.694509983062744,0.042193878442049026,1
26,-281.22076399623876,-2.982207123815166,0.030820085109015825,,,,1
27,-284.24974425016046,-2.8897144287495062,0.029460849367541158,,,,1
28,-286.30765889003567,-2.8228727753505134,0.02870284833167025,,,,1
29,-289.92371200392785,-2.790987411908817,0.028192829397782143,,,,1
30,-292.8845602267538,-2.7798323066313686,0.02773084293574236,28.030548095703125,2.765608310699463,0.05075088515877724,1
31,-294.34966947486237,-2.7067547694201717,0.027381511374949045,,,,1
32,-295.0607711719676,-2.62881230599884,0.02671428567966767,,,,1
33,-297.47193201435687,-2.5910586774443374,0.026064401766429487,,,,1
34,-298.2373982747396,-2.560074464819066,0.02553829871115126,,,,1
35,-299.48502500995073,-2.517803067995285,0.02510870389763919,27.90926170349121,2.7650249004364014,0.04429372027516365,1
36,-303.9355759173208,-2.469561285467886,0.025232763933150264,,,,1
37,-301.9012482219774,-2.462765546319609,0.02464404207467444,,,,1
38,-303.26661302708146,-2.4087344201255183,0.02414915162031237,,,,1
39,-307.52860793946854,-2.3292342392377567,0.02385831251446199,,,,1
40,-305.6296624784786,-2.3516215777886798,0.023314802949485996,25.28607177734375,2.7465109825134277,0.04456662759184837,1
