epoch,loss_g,loss_c,fid,is_mean,is_std,run
1,-1.5167267657379075,-2.588240294153688,294.4187927246094,1.5790923833847046,0.01846330426633358,1
2,-0.8184795365241438,-3.127835512105594,,,,1
3,-2.4276616384007887,-1.6220205043270595,,,,1
4,-1.6155187174868686,-1.5053768248288328,,,,1
5,-1.4299085203840485,-1.220171811232063,172.0285186767578,2.6962502002716064,0.03922073915600777,1
6,-1.3450996803881137,-0.8946942489200621,,,,1
7,-1.1581165165885916,-0.7504172896371961,,,,1
8,-1.0117810903198563,-0.621613541560341,,,,1
9,-0.8775229772896751,-0.5547695090574796,,,,1
10,-1.2809437587777732,-0.5918769797622331,137.3656005859375,3.371868848800659,0.06775273382663727,1
11,-1.1865488128575596,-0.5082195508060231,,,,1
12,-1.0884684724703415,-0.4751587457946932,,,,1
13,-1.1021186650880754,-0.4515055946632027,,,,1
14,-1.1153568581239646,-0.42003030131949687,,,,1
15,-1.109817225625192,-0.3995328093605591,130.55691528320312,3.268794298171997,0.08247547596693039,1
16,-1.0511266375109634,-0.3703162063593035,,,,1
17,-1.0145994445275248,-0.34592860593612573,,,,1
18,-1.0274483178888338,-0.34854303861758495,,,,1
19,-1.148022157596295,-0.3360833907967062,,,,1
20,-1.2215670004980033,-0.3163593113740455,126.23674011230469,3.293928623199463,0.06635332107543945,1
21,-1.2555105160750855,-0.30852054474575163,,,,1
22,-1.2723881067944693,-0.2959563297039671,,,,1
23,-1.2391386038465713,-0.27721161553546736,,,,1
24,-1.154327098371634,-0.26640964235033016,,,,1
25,-1.1144035590878163,-0.25954113170711307,116.4260025024414,3.251225709915161,0.07819347828626633,1
26,-1.2140362079204592,-0.2722330521812052,,,,1
27,-1.2172033638557223,-0.28331091265286557,,,,1
28,-1.0638882384706079,-0.27556212543805103,,,,1
29,-1.0077899024606132,-0.2682058272074228,,,,1
30,-1.024436928967974,-0.258876889785046,112.4884033203125,3.3895232677459717,0.052686065435409546,1
31,-0.9998809041946395,-0.25659762485113824,,,,1
32,-1.0171811095932886,-0.25072473230331405,,,,1
33,-0.9694688611782157,-0.2500441954923414,,,,1
34,-0.9840669064298511,-0.24264466115288444,,,,1
35,-0.9166086635223353,-0.2297267269824205,106.01229095458984,3.2482972145080566,0.05809805542230606,1
36,-0.9200290706875389,-0.22593895170992695,,,,1
37,-0.9353507986578498,-0.23351071402032958,,,,1
38,-0.9805014496241778,-0.2311497449302368,,,,1
39,-1.0545421693724528,-0.227108522311346,,,,1
40,-1.0436502814992643,-0.2312713174771601,105.73043060302734,3.45112681388855,0.06450308859348297,1
41,-0.9484231782761048,-0.2279837144540748,,,,1
42,-0.9202281591922776,-0.22330619596747986,,,,1
43,-0.8946175892144569,-0.21689802370051056,,,,1
44,-0.9537634768959616,-0.21722086813209404,,,,1
45,-0.889394707353577,-0.21161666942269342,105.67973327636719,3.220151662826538,0.06360254436731339,1
