epoch,loss_g,loss_c,fid,is_mean
1,-1.5334291887404983,-2.813384301361321,286.02616729736326,1.5675068020820617
2,-1.6331657470888263,-2.50346563275319,,
3,-1.3928576223418294,-1.637505200616578,,
4,-0.5025874914006572,-1.4029761095788715,,
5,-0.3513679278701377,-1.1164552483918382,196.52816162109374,2.602706861495972
6,-0.7903848439728366,-0.8817706595203794,,
7,-0.8709179497446184,-0.7206816953760964,,
8,-0.8351469919537745,-0.5887911114471953,,
9,-0.7262095965242278,-0.5379883163925678,,
10,-0.7657340131007262,-0.5128382243605663,156.99343566894532,3.2753029584884645
11,-0.7319433769581913,-0.4826916322732303,,
12,-0.6794285128307564,-0.4566424015491978,,
13,-0.6438247304355572,-0.4289108402080826,,
14,-0.6263739617814765,-0.4037227253959362,,
15,-0.5938859913854492,-0.38742998438303855,142.39614028930663,3.2278373003005982
16,-0.5818529609107217,-0.3695311482013735,,
17,-0.5991121832536048,-0.3492734088324877,,
18,-0.5973978449765934,-0.3389732147713084,,
19,-0.598746601141206,-0.3265580886917282,,
20,-0.5820145469497822,-0.31678469595216063,130.77846145629883,3.282799005508423
21,-0.5666594422533422,-0.30429281550305504,,
22,-0.5709455875445777,-0.2962604432655031,,
23,-0.563065883996643,-0.2869431354186976,,
24,-0.5810815119007136,-0.2816998978697058,,
25,-0.5607654156193153,-0.27694357420688565,123.16556167602539,3.265749955177307
26,-0.5766360286120306,-0.27302010951478234,,
27,-0.5698263937401662,-0.2667512288311121,,
28,-0.5464671570220774,-0.26220522575247374,,
29,-0.5333178860989172,-0.25576202423274996,,
30,-0.5105262685359407,-0.2537420500129493,119.20344696044921,3.23139328956604
31,-0.4998232928896372,-0.2502384522249932,,
32,-0.5062246232081836,-0.24563217962174622,,
33,-0.4991561192170327,-0.242714754704549,,
34,-0.484500815501693,-0.23658270340178283,,
35,-0.47438681351625744,-0.23467271087299574,115.04067611694336,3.2200705766677857
36,-0.47408951178591663,-0.230433251186927,,
37,-0.47941028539537633,-0.22817859339613267,,
38,-0.47543027180718134,-0.22552949320465293,,
39,-0.5011132900625479,-0.22137173407332397,,
40,-0.49135420154626097,-0.21987025963883994,113.18297576904297,3.2807803630828856
41,-0.46519984788300617,-0.21622759998262153,,
42,-0.4664041326537315,-0.21556518813784026,,
43,-0.4570519935844114,-0.21129372338013944,,
44,-0.4545477493361966,-0.2087432310063682,,
45,-0.45662836522453343,-0.20471306286569338,111.68301162719726,3.2507567167282105
46,-0.45219961008198145,-0.20090617963928917,,
47,-0.45523874111197243,-0.1988819869165582,,
48,-0.4465420009931619,-0.1971139934387062,,
49,-0.4385909867225455,-0.192829427381395,,
50,-0.42711613403698834,-0.18912924797320887,111.10594329833984,3.265382194519043
51,-0.4189797576424927,-0.18675750100482236,,
52,-0.417194134966851,-0.18094696085403097,,
53,-0.4174237232492778,-0.18069622708094907,,
54,-0.39643180837920344,-0.17745154383815945,,
55,-0.4317818948944877,-0.17363357869629908,111.58167266845703,3.286436080932617
56,-0.44337750266394566,-0.16738324431084264,,
57,-0.43745261894915705,-0.1654384364724843,,
58,-0.43474787483252725,-0.16342960970005144,,
59,-0.4077426394834327,-0.16153405882952895,,
60,-0.36579187835274485,-0.1613774421343554,110.84667663574218,3.261236786842346
61,-0.37449664179103503,-0.15731994089120832,,
62,-0.35229480094037824,-0.15076732028110734,,
63,-0.38128118555199675,-0.14945903482291303,,
64,-0.35197578350771835,-0.14882572776038624,,
65,-0.3298556832456017,-0.1430496410123324,113.52712326049804,3.283753442764282
66,-0.3437677323817213,-0.13827445835010282,,
67,-0.3098532508840047,-0.13425102407712064,,
68,-0.2777511533966741,-0.1270954373740892,,
69,-0.267397751104685,-0.12481714405691928,,
70,-0.3124767640728818,-0.12316562275431071,113.87610549926758,3.2724440813064577
71,-0.2387083139038459,-0.11199061285412155,,
72,-0.21619240253037608,-0.11369556869035277,,
73,-0.17443722135028547,-0.10965992011718269,,
74,-0.21220051628858522,-0.10536563150587679,,
75,-0.13698848759111418,-0.10085271620166784,117.83371963500977,3.316630411148071
76,-0.15536876251193493,-0.10034111468876805,,
77,-0.036862731386689725,-0.1024451464997046,,
78,-0.07897432271362329,-0.0994224241275237,,
79,-0.05468248915272141,-0.10154987318021828,,
80,-0.01809106930457215,-0.10459391349223875,119.31199111938477,3.3107276439666746
